title,genre,year,rating
Inception,Sci-Fi Thriller,2010,8.8
Interstellar,Sci-Fi Adventure,2014,8.6
The Dark Knight,Action Crime,2008,9.0
Shutter Island,Thriller Mystery,2010,8.2
Titanic,Romance Drama,1997,7.9
Avatar,Sci-Fi Adventure,2009,7.8
3 Idiots,Comedy Drama,2009,8.4
Dangal,Sports Drama,2016,8.3
Drishyam,Crime Thriller,2015,8.2
PK,Comedy Sci-Fi,2014,8.1
Avengers Endgame,Action Sci-Fi,2019,8.4
Iron Man,Action Sci-Fi,2008,7.9
Doctor Strange,Fantasy Sci-Fi,2016,7.5
Black Panther,Action Adventure,2018,7.3
Spider-Man No Way Home,Action Adventure,2021,8.2
Joker,Crime Drama,2019,8.4
Fight Club,Drama Thriller,1999,8.8
The Matrix,Sci-Fi Action,1999,8.7
The Prestige,Mystery Drama,2006,8.5
Parasite,Thriller Drama,2019,8.5
Forrest Gump,Drama Romance,1994,8.8
The Shawshank Redemption,Drama Crime,1994,9.3
The Godfather,Crime Drama,1972,9.2
The Godfather Part II,Crime Drama,1974,9.0
Pulp Fiction,Crime Drama,1994,8.9
Gladiator,Action Drama,2000,8.5
The Lion King,Animation Drama,1994,8.5
Frozen,Animation Family,2013,7.4
Toy Story,Animation Comedy,1995,8.3
Finding Nemo,Animation Adventure,2003,8.2
Zindagi Na Milegi Dobara,Comedy Drama,2011,8.2
Chhichhore,Comedy Drama,2019,8.3
Taare Zameen Par,Drama Family,2007,8.3
Andhadhun,Crime Thriller,2018,8.2
Article 15,Crime Drama,2019,8.1
Lagaan,Sports Drama,2001,8.1
Bajrangi Bhaijaan,Drama Adventure,2015,8.1
Bahubali,Action Fantasy,2015,8.0
Bahubali 2,Action Fantasy,2017,8.2
KGF,Action Crime,2018,8.2
KGF 2,Action Crime,2022,8.3
Pushpa,Action Crime,2021,7.6
RRR,Action Drama,2022,7.9
Sita Ramam,Romance Drama,2022,8.5
Your Name,Animation Romance,2016,8.4
Spirited Away,Animation Fantasy,2001,8.6
A Silent Voice,Animation Drama,2016,8.1
Weathering With You,Animation Romance,2019,7.5
Dune,Sci-Fi Adventure,2021,8.0
Mad Max Fury Road,Action Sci-Fi,2015,8.1
